Python,云帆源景,深圳·宝安区·西乡,经验不限大专,aws,,11-20K,https://www.zhipin.com/job_detail/6712d4897d0ac1631XR-2tq8EVZR.html
Python,腾讯,西安·雁塔区·枫林绿洲,1-3年本科,分布式技术,零食下午茶，补充医疗保险，员工旅游，公仔周边活动，节日福利，免费健身房，包吃，股票期权，免费班车，定期体检，五险一金，免费早晚餐，餐补，年终奖，住房补贴，交通补助，带薪年假,15-30K,https://www.zhipin.com/job_detail/31c2bdca9d6ec0301nJ72Nm-FltR.html
Python,华为,杭州·滨江区·长河,经验不限学历不限,python,加班补助，股票期权，五险一金，年终奖，餐补，补充医疗保险，员工旅游，节日福利，定期体检，零食下午茶,15-30K,https://www.zhipin.com/job_detail/d7dffb85c9cbdcb01XR_2d67ElBX.html
python测开,博彦科技,成都·武侯区·铁像寺,1-3年大专,python,定期体检，节日福利，五险一金，带薪年假，年终奖，免费班车,12-16K·13薪,https://www.zhipin.com/job_detail/43e4d45cb2f0a0631nx529S8FlNQ.html
python工程师,铭图天成,上海·浦东新区·张江,3-5年本科,python,带薪年假，节日福利，定期体检，五险一金，零食下午茶，年终奖，员工旅游，餐补,20-40K·15薪,https://www.zhipin.com/job_detail/3e47f0708d0ce6831nx53tq-GFpR.html
python开发,软通动力信息技术集团,成都·郫都区·高新西,1-3年本科,python,年终奖，定期体检，补充医疗保险，交通补助，员工旅游，带薪年假，五险一金，节日福利，全勤奖，加班补助，通讯补贴，包吃，免费班车，餐补，零食下午茶,11-20K,https://www.zhipin.com/job_detail/d21392bcea2535d91nF82tW0FFFW.html
python,苏州威达数据科技,苏州·苏州工业园区·独墅湖,1年以内本科,Oracle,节日福利，五险一金，年终奖,5-10K,https://www.zhipin.com/job_detail/ac019d325dedeba31XV43964GVNX.html
Python开发工程师,港钛科技,上海·嘉定区·江桥,3-5年大专,SQL,带薪年假，零食下午茶，五险一金，定期体检，年终奖，节日福利,12-16K,https://www.zhipin.com/job_detail/151bb53cf35287371XV52NS-GVVV.html
Python开发(系统开发方向),脉策科技,上海·杨浦区·五角场,经验不限本科,数据结构,年终奖，节日福利，员工旅游，人才引进落户，定期体检，补充医疗保险，带薪年假，五险一金,15-30K·14薪,https://www.zhipin.com/job_detail/05b4c1c70e6d9ed11nx90927FlNV.html
Python开发工程师,卓漫科技,天津·西青区·大学城,经验不限本科,Linux,带薪年假，年终奖，五险一金，节日福利，零食下午茶,5-10K·13薪,https://www.zhipin.com/job_detail/cb95d9d04e7228fc1nJ829u-EFNW.html
Python开发工程师,昕喆信科,深圳·福田区·车公庙,3-5年本科,Flask,通讯补贴，餐补，带薪年假，员工旅游，五险一金，交通补助，全勤奖,12-20K·13薪,https://www.zhipin.com/job_detail/adad2ff9192d8b6a1XV539u4FFRR.html
